data_hora;hora_inicio;hora_fim;partida;evento;nacional_x_nacional;transimissores;globo_transmitiu;soh_concorrentes_transimitiram
04/04/2023 19:00;19:00;21:00:00;Independiente Medell�n (COL) x Internacional;Libertadores;0;Paramount+;0;1
04/04/2023 19:00;19:00;21:00:00;Alianza Lima (PER) x Athletico-PR;Libertadores;0;ESPN, Star+;0;1
04/04/2023 19:00;19:00;21:00:00;Argentinos Juniors (ARG) x Independiente del Valle (EQU);Libertadores;0;Paramount+;0;1
04/04/2023 23:00;23:00;01:00:00;Metropolitanos (VEN) x Nacional (URU);Libertadores;0;ESPN, Star+;0;1
05/04/2023 19:00;19:00;21:00:00;Aucas (EQU) x Flamengo;Libertadores;0;ESPN, Star+;0;1
05/04/2023 21:00;21:00;23:00:00;�ublense (CHI) x Racing (ARG);Libertadores;0;Paramount+;0;1
05/04/2023 21:00;21:00;23:00:00;Cerro Porte�o (PAR) x Barcelona (EQU);Libertadores;0;ESPN, Star+;0;1
06/04/2023 19:00;19:00;21:00:00;Liverpool (URU) x Corinthians;Libertadores;0;Paramount+;0;1
06/04/2023 19:00;19:00;21:00:00;Atl�tico-MG x Libertad (PAR);Libertadores;0;ESPN, Star+;0;1
18/04/2023 19:00;19:00;21:00:00;Internacional x Metropolitanos (VEN);Libertadores;0;Paramount+;0;1
18/04/2023 21:00;21:00;23:00:00;Athletico-PR x Atl�tico-MG;Libertadores;1;ESPN, Star+;0;1
18/04/2023 23:00;23:00;01:00:00;Independiente del Valle (EQU) x Liverpool (URU);Libertadores;0;ESPN, Star+;0;1
19/04/2023 19:00;19:00;21:00:00;Nacional (URU) x Independiente Medell�n (COL);Libertadores;0;Paramount+;0;1
19/04/2023 21:00;21:00;23:00:00;River Plate (ARG) x Sporting Cristal (PER);Libertadores;0;ESPN, Star+;0;1
19/04/2023 23:00;23:00;01:00:00;Barcelona (EQU) x Bol�var (BOL);Libertadores;0;ESPN, Star+;0;1
20/04/2023 19:00;19:00;21:00:00;Racing (ARG) x Aucas (EQU);Libertadores;0;ESPN, Star+;0;1
20/04/2023 21:00;21:00;23:00:00;Palmeiras x Cerro Porte�o (PAR);Libertadores;0;ESPN, Star+;0;1
20/04/2023 23:00;23:00;01:00:00;Libertad (PAR) x Alianza Lima (PER);Libertadores;0;Paramount+;0;1
02/05/2023 19:00;19:00;21:00:00;�ublense (CHI) x Aucas (EQU);Libertadores;0;Paramount+;0;1
02/05/2023 19:00;19:00;21:00:00;Liverpool (URU) x Argentinos Juniors (ARG);Libertadores;0;ESPN, Star+;0;1
02/05/2023 21:00;21:00;23:00:00;Corinthians x Independiente del Valle (EQU);Libertadores;0;Paramount+;0;1
02/05/2023 21:00;21:00;23:00:00;Fluminense x River Plate (ARG);Libertadores;0;ESPN, Star+;0;1
02/05/2023 23:00;23:00;01:00:00;Sporting Cristal (PER) x The Strongest (BOL);Libertadores;0;ESPN, Star+;0;1
